,symbol,strike,price
2022-02-18,SPY,400.0,53.835
2022-02-22,SPY,400.0,50.235
2022-02-23,SPY,400.0,47.61
2022-02-24,SPY,400.0,42.785
2022-02-25,SPY,400.0,51.614999999999995
2022-02-28,SPY,400.0,52.475
2022-03-01,SPY,400.0,51.83
2022-03-02,SPY,400.0,53.80500000000001
2022-03-03,SPY,400.0,55.9
2022-03-04,SPY,400.0,52.305
2022-03-07,SPY,400.0,48.21
2022-03-08,SPY,400.0,43.075
2022-03-09,SPY,400.0,47.879999999999995
2022-03-10,SPY,400.0,46.285
2022-03-11,SPY,400.0,45.915
2022-03-14,SPY,400.0,42.995000000000005
2022-03-15,SPY,400.0,45.43
2022-03-16,SPY,400.0,51.075
2022-03-17,SPY,400.0,53.765
2022-03-18,SPY,400.0,57.43
2022-03-21,SPY,400.0,59.215
2022-03-22,SPY,400.0,61.355000000000004
2022-03-23,SPY,400.0,59.84
2022-03-24,SPY,400.0,61.620000000000005
2022-03-25,SPY,400.0,64.36500000000001
2022-03-28,SPY,400.0,66.02
2022-03-29,SPY,400.0,71.31
2022-03-30,SPY,400.0,70.355
2022-03-31,SPY,400.0,66.905
2022-04-01,SPY,400.0,65.16
2022-04-04,SPY,400.0,66.355
2022-04-05,SPY,400.0,65.11500000000001
2022-04-06,SPY,400.0,60.235
2022-04-07,SPY,400.0,60.57
2022-04-08,SPY,400.0,60.879999999999995
2022-04-11,SPY,400.0,56.345
2022-04-12,SPY,400.0,55.345
2022-04-13,SPY,400.0,55.045
2022-04-14,SPY,400.0,54.59
2022-04-18,SPY,400.0,51.980000000000004
2022-04-19,SPY,400.0,54.7
2022-04-20,SPY,400.0,57.75
2022-04-21,SPY,400.0,55.975
2022-04-22,SPY,400.0,47.849999999999994
2022-04-25,SPY,400.0,44.325
2022-04-26,SPY,400.0,40.99
2022-04-27,SPY,400.0,38.385
2022-04-28,SPY,400.0,43.14
2022-04-29,SPY,400.0,38.835
2022-05-02,SPY,400.0,35.53
2022-05-03,SPY,400.0,36.254999999999995
2022-05-04,SPY,400.0,40.57
2022-05-05,SPY,400.0,38.4
2022-05-06,SPY,400.0,33.46
2022-05-09,SPY,400.0,27.97
2022-05-10,SPY,400.0,27.595
2022-05-11,SPY,400.0,23.91
2022-05-12,SPY,400.0,21.175
2022-05-13,SPY,400.0,24.715
2022-05-16,SPY,400.0,24.535
2022-05-17,SPY,400.0,28.3
2022-05-18,SPY,400.0,23.259999999999998
2022-05-19,SPY,400.0,18.384999999999998
2022-05-20,SPY,400.0,19.259999999999998
2022-05-23,SPY,400.0,20.625
2022-05-24,SPY,400.0,19.96
2022-05-25,SPY,400.0,20.655
2022-05-26,SPY,400.0,24.34
2022-05-27,SPY,400.0,29.81
2022-05-31,SPY,400.0,30.745
2022-06-01,SPY,400.0,29.755
2022-06-02,SPY,400.0,30.21
2022-06-03,SPY,400.0,28.795
2022-06-06,SPY,400.0,29.53
2022-06-07,SPY,400.0,28.744999999999997
2022-06-08,SPY,400.0,28.22
2022-06-09,SPY,400.0,23.915
2022-06-10,SPY,400.0,17.375
2022-06-13,SPY,400.0,11.715
2022-06-14,SPY,400.0,10.364999999999998
2022-06-15,SPY,400.0,10.7
2022-06-16,SPY,400.0,8.465
2022-06-17,SPY,400.0,6.795
2022-06-21,SPY,400.0,8.555
2022-06-22,SPY,400.0,8.215
2022-06-23,SPY,400.0,9.614999999999998
2022-06-24,SPY,400.0,12.84
2022-06-27,SPY,400.0,14.24
2022-06-28,SPY,400.0,12.145
2022-06-29,SPY,400.0,9.920000000000002
2022-06-30,SPY,400.0,8.475
2022-07-01,SPY,400.0,8.934999999999999
2022-07-05,SPY,400.0,8.755
2022-07-06,SPY,400.0,9.879999999999999
2022-07-07,SPY,400.0,11.120000000000001
2022-07-08,SPY,400.0,11.405
2022-07-11,SPY,400.0,10.280000000000001
2022-07-12,SPY,400.0,8.765
2022-07-13,SPY,400.0,6.835
2022-07-14,SPY,400.0,6.244999999999999
2022-07-15,SPY,400.0,8.475000000000001
2022-07-18,SPY,400.0,8.815
2022-07-19,SPY,400.0,10.445
2022-07-20,SPY,400.0,12.545
2022-07-21,SPY,400.0,13.985
2022-07-22,SPY,400.0,13.535
2022-07-25,SPY,400.0,12.58
2022-07-26,SPY,400.0,11.035
2022-07-27,SPY,400.0,13.455
2022-07-28,SPY,400.0,16.57
2022-07-29,SPY,400.0,20.14
